County,year,valuation_change_pct
Reno,2013,2.2
Reno,2014,2.4
Reno,2015,1.5
Reno,2016,1.6
Reno,2017,1.5
Reno,2018,1.6
Reno,2019,1.5
Reno,2020,2.5
Reno,2021,1.3
Reno,2022,8.9
Reno,2023,9.7
State Avg,2013,0.2
State Avg,2014,2.1
State Avg,2015,2.6
State Avg,2016,2.9
State Avg,2017,3.8
State Avg,2018,4.4
State Avg,2019,4.3
State Avg,2020,4.2
State Avg,2021,4.4
State Avg,2022,10.9
State Avg,2023,12.0
